Article;Absolutes;Achievement;Avg_sent_length;Confidence;Empathy;Endophoric;Evidence;First_Person;FRE;Hedges;Intext_citations;Negate;Negative_emotions;Num_Authors;Pvalues;Page_length;Polarity;Ref_Diversity;Reward;Sample;Sensory;Subjectivity;Third_Person;Time_Delta;Volume;Word_count;Special;citationNumCrossRef;CitationNumGoogle;Rank
art_124;0.01;0.14;34.7;1;0;0.02;0.02;0.01;36.25;0.01;20;0.01;0.03;2;2;9;0.041;0.44;0.08;227;0;0.474;0.04;95;22;5871;0;8;14;8
art_125;0.01;0.13;36.8;1;0;0.02;0.01;0.01;25.66;0.02;53;0.02;0.05;2;2;10;0.094;0.38;0.05;63;0;0.426;0.04;95;22;8527;0;11;20;4
art_127;0.01;0.24;38.9;0;0;0.02;0.01;0.01;15.07;0.01;47;0.01;0.01;4;3;8;0.146;0.66;0.06;155;0;0.501;0.04;92;22;5445;0;21;59;6
art_128;0.01;0.11;33.9;1;0;0.01;0.01;0.01;20.15;0.02;45;0.01;0.01;3;2;12;0.053;0.47;0.08;35;0;0.339;0.07;83;23;9957;0;8;20;1
art_129;0.02;0.08;31.1;0;0.01;0.01;0.01;0.01;22.99;0.02;40;0.02;0.03;3;4;7;0.038;0.67;0.2;45;0;0.398;0.04;83;23;5565;0;22;43;3
art_130;0.01;0.06;33.7;0;0;0.02;0.01;0.01;28.81;0.03;28;0.01;0.02;2;4;6;0.078;0.56;0.04;5578;0;0.391;0.04;80;23;4619;0;19;33;4
art_131;0.02;0.11;33.4;1;0;0.01;0.01;0.01;20.65;0.02;79;0.01;0.02;3;2;12;0.072;0.39;0.02;16;0;0.465;0.04;80;23;9924;0;70;151;3
art_132;0.01;0.08;37.2;0;0;0.01;0.01;0.01;25.26;0.02;30;0.01;0.01;2;0;5;0.076;0.72;0.04;44;0.01;0.415;0.04;89;23;4358;0;59;108;9
art_133;0.01;0.09;37.4;0;0;0.01;0.01;0.02;25.05;0.02;28;0.01;0.01;5;3;10;0.074;0.37;0.05;626;0;0.425;0.04;80;23;5011;0;3;12;7
art_134;0.01;0.13;32.3;0;0.01;0.01;0.01;0.01;21.77;0.02;63;0.01;0.03;3;3;15;0.13;0.53;0.23;17;0;0.48;0.05;89;23;12627;0;2;7;6
art_135;0.01;0.05;37.7;0;0;0.02;0.02;0.01;16.29;0.02;71;0;0.04;2;3;14;0.104;0.53;0.06;23;0;0.397;0.04;86;23;11077;0;38;89;2
art_136;0.01;0.26;29.9;0;0.01;0.02;0.02;0.02;32.67;0.01;37;0.01;0.01;3;2;5;0.198;0.77;0.2;13;0;0.462;0.03;80;23;3827;0;7;18;5
art_137;0.01;0.17;28.8;0;0;0;0;0.01;25.32;0.03;74;0.01;0.02;2;4;16;0.072;0.39;0.03;413;0;0.482;0.05;89;23;13255;0;1;5;1
art_138;0.01;0.11;36.3;0;0;0;0;0.01;17.71;0.02;61;0.01;0.11;2;4;7;0.038;0.33;0.04;10;0;0.472;0.05;89;23;5403;0;36;89;7
art_139;0.01;0.13;47.2;0;0.01;0.01;0.01;0.02;6.65;0.01;41;0.01;0.02;2;3;7;0.121;0.7;0.12;128;0;0.461;0.03;89;23;5759;0;16;38;8
art_140;0.01;0.16;31.1;0;0.01;0;0;0.01;31.45;0.01;25;0;0.01;3;3;5;0.112;0.56;0.09;323;0;0.352;0.04;80;23;4230;0;14;30;6
art_141;0.03;0.15;33;0;0;0.01;0;0.01;21.06;0.04;29;0.01;0.02;3;4;7;0.113;0.83;0.2;81;0;0.424;0.05;89;23;5047;0;13;26;10
art_142;0.03;0.26;35.8;1;0;0.01;0.01;0.02;18.22;0.02;50;0.01;0.02;3;2;15;0.112;0.36;0.2;94;0;0.46;0.05;89;23;11281;0;11;20;5
art_143;0.01;0.07;26;1;0;0.01;0.01;0.01;36.63;0.02;63;0.01;0.01;3;0;12;0.141;0.61;0.04;88;0;0.436;0.04;89;23;10717;0;13;28;2
art_144;0.01;0.1;28.9;0;0;0.01;0.01;0.02;25.22;0.02;55;0.01;0.03;3;2;12;0.052;0.34;0.23;12;0;0.419;0.04;83;23;6786;0;22;40;2
art_145;0.01;0.19;36.4;0;0;0.01;0;0.02;17.61;0.02;132;0.01;0.02;2;4;16;0.153;0.53;0.11;139;0;0.428;0.04;80;23;12451;0;46;101;2
art_146;0.01;0.12;42.4;0;0.01;0;0;0.01;19.98;0.01;88;0.01;0.03;3;4;19;0.111;0.47;0.09;26;0.01;0.461;0.04;86;23;15308;0;124;237;5
art_147;0.01;0.05;27;0;0.01;0.01;0.01;0.01;44.07;0.02;35;0.01;0.01;3;3;7;0.087;0.66;0.02;326;0.04;0.384;0.03;86;23;4987;0;78;165;1
